schema,table,kind,ordinal,column,data_type,udt,nullable,column_default,maxlen,is_tenant_id
analytics,ap_provider,table,1,tenant_id,uuid,uuid,NO,,,1
analytics,ap_provider,table,2,sucursal,text,text,NO,,,
analytics,ap_provider,table,3,proveedor_norm,text,text,NO,,,
analytics,ap_provider,table,4,proveedor,text,text,YES,,,
analytics,ap_provider,table,5,compra_12m,numeric,numeric,YES,0,,
analytics,ap_provider,table,6,pagos_12m,numeric,numeric,YES,0,,
analytics,ap_provider,table,7,saldo,numeric,numeric,YES,0,,
analytics,ap_provider,table,8,num_facturas,integer,int4,YES,0,,
analytics,ap_provider,table,9,ultima_compra,date,date,YES,,,
analytics,ap_provider,table,10,dpo_dias,integer,int4,YES,,,
analytics,ap_provider,table,11,computed_at,timestamp with time zone,timestamptz,YES,now(),,
analytics,ap_provider,table,12,warehouse_id,uuid,uuid,YES,,,
analytics,bank_postings_snapshot_bak,table,1,tenant_id,uuid,uuid,NO,,,1
analytics,bank_postings_snapshot_bak,table,2,client_uuid,text,text,NO,,,
analytics,bank_postings_snapshot_bak,table,3,sucursal,text,text,NO,,,
analytics,bank_postings_snapshot_bak,table,4,doc_tipo,text,text,NO,,,
analytics,bank_postings_snapshot_bak,table,5,folio,text,text,YES,,,
analytics,bank_postings_snapshot_bak,table,6,linea,integer,int4,YES,,,
analytics,bank_postings_snapshot_bak,table,7,fecha,date,date,YES,,,
analytics,bank_postings_snapshot_bak,table,8,anio_mes,text,text,NO,,,
analytics,bank_postings_snapshot_bak,table,9,cargo_abono,character,bpchar,NO,,1,
analytics,bank_postings_snapshot_bak,table,10,importe,numeric,numeric,NO,0,,
analytics,bank_postings_snapshot_bak,table,11,contraparte,text,text,YES,,,
analytics,bank_postings_snapshot_bak,table,12,forma,text,text,YES,,,
analytics,bank_postings_snapshot_bak,table,13,computed_at,timestamp with time zone,timestamptz,YES,now(),,
analytics,bank_postings_snapshot_bak,table,14,warehouse_id,uuid,uuid,YES,,,
analytics,caja_arqueos,table,1,tenant_id,uuid,uuid,NO,,,1
analytics,caja_arqueos,table,2,source_caja,text,text,NO,,,
analytics,caja_arqueos,table,3,mov_id,text,text,NO,,,
analytics,caja_arqueos,table,4,folio,text,text,YES,,,
analytics,caja_arqueos,table,5,tipo,text,text,YES,,,
analytics,caja_arqueos,table,6,almacen,text,text,YES,,,
analytics,caja_arqueos,table,7,caja,text,text,YES,,,
analytics,caja_arqueos,table,8,arqueo_date,date,date,YES,,,
analytics,caja_arqueos,table,9,capturo,text,text,YES,,,
analytics,caja_arqueos,table,10,total_billetes,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,11,total_monedas,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,12,total_efectivo,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,13,total_credito,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,14,total_cheques,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,15,total_tarjeta,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,16,total_dolares,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,17,mov_total,numeric,numeric,YES,0,,
analytics,caja_arqueos,table,18,denom,jsonb,jsonb,YES,,,
analytics,caja_arqueos,table,19,revisado,boolean,bool,YES,false,,
analytics,caja_arqueos,table,20,cancelado,boolean,bool,YES,false,,
analytics,caja_arqueos,table,21,observaciones,text,text,YES,,,
analytics,caja_arqueos,table,22,computed_at,timestamp with time zone,timestamptz,YES,now(),,
analytics,caja_bancos_catalog,table,1,tenant_id,uuid,uuid,NO,,,1
analytics,caja_bancos_catalog,table,2,source_instance,text,text,NO,,,
analytics,caja_bancos_catalog,table,3,banco_code,text,text,NO,,,
analytics,caja_bancos_catalog,table,4,banco_name,text,text,YES,,,
analytics,caja_bancos_catalog,table,5,es_banco,boolean,bool,YES,false,,
analytics,caja_bancos_catalog,table,6,es_cuenta,boolean,bool,YES,false,,
analytics,caja_bancos_catalog,table,7,es_cheques,boolean,bool,YES,false,,
analytics,caja_bancos_catalog,table,8,bank_account_label,text,text,YES,,,
analytics,caja_bancos_catalog,table,9,computed_at,timestamp with time zone,timestamptz,YES,now(),,
analytics,caja_depositos,table,1,tenant_id,uuid,uuid,NO,,,1
analytics,caja_depositos,table,2,source_instance,text,text,NO,,,
analytics,caja_depositos,table,3,deposito_id,text,text,NO,,,
analytics,caja_depositos,table,4,control,text,text,YES,,,
analytics,caja_depositos,table,5,almacen,text,text,YES,,,
analytics,caja_depositos,table,6,banco_code,text,text,YES,,,
analytics,caja_depositos,table,7,banco_name,text,text,YES,,,
analytics,caja_depositos,table,8,banco_cuenta,text,text,YES,,,
analytics,caja_depositos,table,9,deposito_date,date,date,YES,,,
analytics,caja_depositos,table,10,deposito_date_real,date,date,YES,,,
analytics,caja_depositos,table,11,tipo_pago_code,text,text,YES,,,
analytics,caja_depositos,table,12,tipo_pago,text,text,YES,,,
analytics,caja_depositos,table,13,total_deposito,numeric,numeric,YES,0,,
analytics,caja_depositos,table,14,total_deposito_real,numeric,numeric,YES,0,,
analytics,caja_depositos,table,15,comision,numeric,numeric,YES,0,,
analytics,caja_depositos,table,16,iva,numeric,numeric,YES,0,,
analytics,caja_depositos,table,17,revisado,boolean,bool,YES,false,,
analytics,caja_depositos,table,18,eliminado,boolean,bool,YES,false,,
analytics,caja_depositos,table,19,observaciones,text,text,YES,,,
analytics,caja_depositos,table,20,computed_at,timestamp with time zone,timestamptz,YES,now(),,
analytics,caja_general_cuentas,table,1,tenant_id,uuid,uuid,NO,,,1
analytics,caja_general_cuentas,table,2,source_caja,text,text,NO,,,
analytics,caja_general_cuentas,table,3,id_cuenta,text,text,NO,,,
analytics,caja_general_cuentas,table,4,nombre,text,text,YES,,,
analytics,caja_general_cuentas,table,5,nombre_largo,text,text,YES,,,
analytics,caja_general_cuentas,table,6,nivel,integer,int4,YES,,,
analytics,caja_general_cuentas,table,7,grupo,text,text,YES,,,
analytics,caja_general_cuentas,table,8,acumula_a,text,text,YES,,,
analytics,caja_general_cuentas,table,9,afectable,boolean,bool,YES,false,,
analytics,caja_general_cuentas,table,10,computed_at,timestamp with time zone,timestamptz,YES,now(),,
analytics,caja_general_movimientos,table,1,tenant_id,uuid,uuid,NO,,,1
analytics,caja_general_movimientos,table,2,source_caja,text,text,NO,,,
analytics,caja_general_movimientos,table,3,tipo_dto,integer,int4,NO,,,
analytics,caja_general_movimientos,table,4,mov_id,text,text,NO,,,
analytics,caja_general_movimientos,table,5,tipo,text,text,YES,,,
analytics,caja_general_movimientos,table,6,fecha,date,date,YES,,,
analytics,caja_general_movimientos,table,7,hora,text,text,YES,,,
