sucursal,almacen,sku,nombre,bf_actual,factor_source,bf_sugerido_c58,importe_90d
01,01,70043,"GOMA A GRANEL LA ROSA 12KG",1,override,12,228248
06,06,17064,"ALTOS ROLLO ALTA 20X30 1KG",1,default,20,187060
05,05,70140,"LA ROSA CONFICHOCKY GRANEL 9KG",1,override,18,120192
05,05,70043,"GOMA A GRANEL LA ROSA 12KG",1,override,12,111222
01,01,70140,"LA ROSA CONFICHOCKY GRANEL 9KG",1,override,18,81433
06,06,20555,"CAR SURTIDO 18KG COLOMBINA",1,override,18,78848
06,06,28029,"DELICIAS WAFER CHOC /150+30",6,kepler_c84,12,70568
01,01,30540,"ALMENDRA CONFITADA 10 KG / PROVIDENCIA",1,override,24,61346
06,06,70043,"GOMA A GRANEL LA ROSA 12KG",1,override,12,44024
03,03,70043,"GOMA A GRANEL LA ROSA 12KG",1,override,12,43322
01,01,83742,"PASTA B.  11 X 11 GUSTINOS / 20KG",1,override,20,38608
01,01,89122,"MAIZ PALOMERO CAMINO DE SANTIAGO  GRANEL 20KG",1,override,20,31879
01,01,70006,"SURTIDO CARAMELO Y PAL 18KG LA ROSA",1,override,18,31580
06,06,70006,"SURTIDO CARAMELO Y PAL 18KG LA ROSA",1,override,18,28483
01,01,95436,"CHOC SUPER SPORTS GRANEL PALMER 10.89KG",1,override,27,28383
01,01,47024,"CHOC BALONCITOS NUTRESA /200",10,etiquetera,12,19851
03,03,30540,"ALMENDRA CONFITADA 10 KG / PROVIDENCIA",1,override,2,18531
01,01,14053,"GRANILLO MULTICOLOR ECO 5K",1,override,10,18255
05,05,17128,"GREENPACK CAM MINI NEGRA 1KG",20,kepler_c84,25,16741
01,01,44227,"GALL ANIMALITOS 5KG MARIBEL/1",1,override,5,16515
01,01,94203,"CUCHARA GRANDE  6 KG REYHER",1,override,24,15781
06,06,70140,"LA ROSA CONFICHOCKY GRANEL 9KG",1,override,18,11093
02,02,70043,"GOMA A GRANEL LA ROSA 12KG",1,override,12,10655
03,03,70140,"LA ROSA CONFICHOCKY GRANEL 9KG",1,override,18,10563
06,06,83742,"PASTA B.  11 X 11 GUSTINOS / 20KG",1,override,20,7598
06,06,30540,"ALMENDRA CONFITADA 10 KG / PROVIDENCIA",1,override,10,7523
06,06,95436,"CHOC SUPER SPORTS GRANEL PALMER 10.89KG",1,override,27,5945
02,02,30540,"ALMENDRA CONFITADA 10 KG / PROVIDENCIA",1,override,2,5711
06,06,94315,"PELICULA PLASTICA 30 CM X 300 MTS / MEGA MAX",6,etiquetera,12,5695
06,06,14053,"GRANILLO MULTICOLOR ECO 5K",1,override,10,5343
03,03,94203,"CUCHARA GRANDE  6 KG REYHER",1,override,4,5340
01,01,20555,"CAR SURTIDO 18KG COLOMBINA",1,override,18,5058
01,01,47054,"NUCITA PULPIQUIN SANDIA 224G / 16 NUTRESA",16,override,18,4819
03,03,83742,"PASTA B.  11 X 11 GUSTINOS / 20KG",1,override,20,4134
03,03,14053,"GRANILLO MULTICOLOR ECO 5K",1,override,2,4004
03,03,89122,"MAIZ PALOMERO CAMINO DE SANTIAGO  GRANEL 20KG",1,override,20,3833
02,02,89122,"MAIZ PALOMERO CAMINO DE SANTIAGO  GRANEL 20KG",1,override,2,2171
03,03,17236,"REYMA ROLLO ALTA 15X 25 1KG",1,default,20,2171
02,02,14053,"GRANILLO MULTICOLOR ECO 5K",1,override,2,1838
07,07,44227,"GALL ANIMALITOS 5KG MARIBEL/1",1,override,5,913
05,05,44227,"GALL ANIMALITOS 5KG MARIBEL/1",1,override,5,187
